Date,Open,High,Low,Close,Volume
2023-08-16 03:00:00,23.8747,24.2895,23.8217,23.8923,33932200
2023-08-17 03:00:00,24.113,24.1306,23.6011,23.6099,37983000
2023-08-18 03:00:00,23.5658,23.9894,23.4245,23.7952,20835200
2023-08-21 03:00:00,23.707,23.9011,23.5834,23.6981,32735100
2023-08-22 03:00:00,23.8305,24.1395,23.7688,24.0688,21268500
2023-08-23 03:00:00,24.0688,24.466,23.9276,24.3689,24179700
2023-08-24 03:00:00,24.3601,24.3601,23.9541,24.0865,18660400
2023-08-25 03:00:00,24.0512,24.0953,23.5393,23.707,22324700
2023-08-28 03:00:00,23.7246,24.7043,23.5834,24.5102,34277600
2023-08-29 03:00:00,24.7132,25.2339,24.6161,24.8985,35384900
2023-08-30 03:00:00,24.9868,25.0221,24.3425,24.4219,17550700
2023-08-31 03:00:00,24.316,24.3954,23.9894,24.2101,36973000
2023-09-01 03:00:00,24.2365,24.6425,24.1218,24.4042,29402400
2023-09-04 03:00:00,24.2983,24.4572,24.113,24.1836,9881600
2023-09-05 03:00:00,24.1836,24.2454,23.7864,23.8217,20654300
2023-09-06 03:00:00,23.8835,23.9806,23.4775,23.5922,19217800
2023-09-08 03:00:00,23.5216,23.9276,23.4157,23.6275,22711500
2023-09-11 03:00:00,23.8305,24.263,23.7335,24.2277,27622600
2023-09-12 03:00:00,24.2542,24.4484,24.113,24.3689,16481600
2023-09-13 03:00:00,24.4131,24.7485,24.263,24.4925,23120200
2023-09-14 03:00:00,24.5366,24.6867,24.2454,24.3954,30245100
2023-09-15 03:00:00,24.6425,24.7132,24.2189,24.3425,35928200
2023-09-18 03:00:00,24.4042,24.5366,24.1483,24.2807,14329800
2023-09-19 03:00:00,24.0953,24.2012,23.8835,23.9718,18953900
2023-09-20 03:00:00,24.0688,24.5719,24.0335,24.3778,24596100
2023-09-21 03:00:00,24.0953,24.1836,23.7952,23.8217,22405900
2023-09-22 03:00:00,23.9365,24.0247,23.7335,23.7599,16362800
